text,label
menteri pendidikan leonardo menteri sosial ,2
,0
menteri ,1
mantap ,1
turah ,2
aamiin semangat iya ,2
aamiin ,2
iya cocok leo menteri sosial menteri pendidikan ,2
turah menteri kebudayaan ,2
update donasi ditutup dana terima kasih membantu doa donasi semoga sehatsehat yaa update cek damianus ,2
biar mencari ,1
nitip peluru kendali raksasa ,0
doa ,2
kirimnya jakarta bantu2 pingin banget misi kemanusiaan ,2
ko membantu of ,2
cek ,1
uang ,1
cek mantap keren ,2
banget sm leo inspirasi motivasi as a semangat belajar orang ,2
motivasi belajar ko orang malesan ajav ,2
iya weh rebahan main orang ,2
terjungkal terguling terperosok tersleding ,1
thank you leo provinsi semoga pendidikan ntt pemerintah ,2
banget ko leo semoga dilancarkan ko leo semoga berkatnya melimpah ko leo orang ,2
ayo manteman donasi donasinya lakukan nya lele donasinya ,2
damianus kak ,1
damianus ,1
banget orang timur kah kalimatnya semangat konten konten ,2
sih sekolah manggarai barat orang tua hidup semoga orang respect ,1
banget tementemen belajar terima kasih ko semoga tementemen doa ,2
semoga bapaknya rezeki berdonasi semoga ,2
suka banget sm konten banget lihat ko leo perantara semoga diberkati memberkati orang gbu semoga damianus sehat dilancarkan ,2
semangat teman teman belajar orang ,2
tergerak semangat belajar semangat ko leo indonesia butuh menggerakkan semoga dimudahkan ko ,2
banget yaampun bagus ayo semangat pribadi ,2
emojinya respon lope ko leo ,1
orang merugikan semangat lele ,2
lele ,0
jaga ,2
ikan ,0
lihat indonesia timur sekolah layak susah pemerintah layak rakyat indonesia sa samua orang jakarta jang samua samua memadai sa orang timur orang jang anggap anak2 timur terima kasih asrama adek2 sekolah rumah donasi asrama salam terima kasih leo inspirasi ,2
motivasi banget disana semangat cita cita banget disana kak leo jugaa ,2
maaf iya kak leo berdonasi doa damianus donasi nya asrama nya nyaman aamiin salam jakarta ,2
kelas ,1
tugas membantu masyarakat mengedukasi ,2
semoga lele tetep lingkungan menginspirasi orang iya support kamuu sehat damianus lele ,2
orang ntt kawan2 peduli kakak bless you ,1
ko leo thank you ko open donasinya yaa ko semoga ko yaa koo jaga damianus semoga dilancarkan rezeki nyaa semoga anakanak asrama damianus anak anak ,2
kali lihat ko leo bangett nya koko bgtt ,2
donasi target aamiin tolong iya ,2
to labuan menampilkan labuan ditampilkan keindahan destinasi wisatanya pendidikan kak ,2
suara hahaha semangat leo ,1
sungguh mulia lele lele membantu ,2
donasi donasi uang ,2
semoga dana ,2
ngerasa orang suka malesan bless ko semoga konten kayak aamiin ,1
semangat kak lele bikin semangat iya kak konten kali bikin ,2
banget ko leo upload tertawa sehat tetep jaga ko semangat ,2
sdah berkunjung flores island ,2
kerenn inspirasi anak nya indonesia ,2
terima kasih ko perantara semoga donasi mencapai target berguna amin ,2
so of you ,2
kak leo terima kasih gbu iya manteman ,2
